realisation,NoEvents,NoTriggers,MaxTriggersYear,TriggerPerYear,YearsPerTrigger
427.0,111.0,3.0,1.0,0.15,6.666666666666667
428.0,111.0,2.0,1.0,0.1,10.0
429.0,107.0,2.0,1.0,0.1,10.0
430.0,112.0,2.0,1.0,0.1,10.0
431.0,111.0,2.0,1.0,0.1,10.0
432.0,118.0,2.0,1.0,0.1,10.0
433.0,114.0,2.0,1.0,0.1,10.0
434.0,116.0,3.0,1.0,0.15,6.666666666666667
435.0,121.0,4.0,1.0,0.2,5.0
436.0,117.0,5.0,1.0,0.25,4.0
437.0,119.0,5.0,1.0,0.25,4.0
438.0,115.0,5.0,1.0,0.25,4.0
439.0,110.0,5.0,1.0,0.25,4.0
440.0,106.0,5.0,1.0,0.25,4.0
441.0,99.0,5.0,1.0,0.25,4.0
442.0,100.0,4.0,1.0,0.2,5.0
443.0,96.0,3.0,1.0,0.15,6.666666666666667
444.0,101.0,3.0,1.0,0.15,6.666666666666667
445.0,98.0,3.0,1.0,0.15,6.666666666666667
446.0,101.0,3.0,1.0,0.15,6.666666666666667
447.0,108.0,3.0,1.0,0.15,6.666666666666667
448.0,110.0,3.0,1.0,0.15,6.666666666666667
449.0,114.0,4.0,1.0,0.2,5.0
450.0,120.0,4.0,1.0,0.2,5.0
451.0,129.0,4.0,1.0,0.2,5.0
452.0,130.0,4.0,1.0,0.2,5.0
453.0,132.0,5.0,1.0,0.25,4.0
454.0,130.0,4.0,1.0,0.2,5.0
455.0,127.0,3.0,1.0,0.15,6.666666666666667
456.0,125.0,2.0,1.0,0.1,10.0
457.0,130.0,2.0,1.0,0.1,10.0
458.0,137.0,3.0,1.0,0.15,6.666666666666667
459.0,140.0,3.0,1.0,0.15,6.666666666666667
460.0,142.0,3.0,1.0,0.15,6.666666666666667
461.0,136.0,3.0,1.0,0.15,6.666666666666667
462.0,136.0,3.0,1.0,0.15,6.666666666666667
463.0,133.0,3.0,1.0,0.15,6.666666666666667
464.0,128.0,3.0,1.0,0.15,6.666666666666667
465.0,129.0,3.0,1.0,0.15,6.666666666666667
466.0,126.0,3.0,1.0,0.15,6.666666666666667
467.0,125.0,3.0,1.0,0.15,6.666666666666667
468.0,118.0,3.0,1.0,0.15,6.666666666666667
469.0,119.0,3.0,1.0,0.15,6.666666666666667
470.0,114.0,3.0,1.0,0.15,6.666666666666667
471.0,112.0,3.0,1.0,0.15,6.666666666666667
472.0,109.0,3.0,1.0,0.15,6.666666666666667
473.0,108.0,2.0,1.0,0.1,10.0
474.0,113.0,3.0,1.0,0.15,6.666666666666667
475.0,110.0,3.0,1.0,0.15,6.666666666666667
476.0,110.0,3.0,1.0,0.15,6.666666666666667
477.0,100.0,3.0,1.0,0.15,6.666666666666667
478.0,98.0,3.0,1.0,0.15,6.666666666666667
479.0,98.0,3.0,1.0,0.15,6.666666666666667
480.0,106.0,3.0,1.0,0.15,6.666666666666667
481.0,111.0,3.0,1.0,0.15,6.666666666666667
482.0,112.0,3.0,1.0,0.15,6.666666666666667
483.0,119.0,4.0,1.0,0.2,5.0
484.0,118.0,5.0,1.0,0.25,4.0
485.0,118.0,5.0,1.0,0.25,4.0
486.0,114.0,5.0,1.0,0.25,4.0
487.0,112.0,5.0,1.0,0.25,4.0
488.0,112.0,5.0,1.0,0.25,4.0
489.0,111.0,4.0,1.0,0.2,5.0
490.0,106.0,4.0,1.0,0.2,5.0
491.0,101.0,4.0,1.0,0.2,5.0
492.0,107.0,4.0,1.0,0.2,5.0
493.0,106.0,4.0,1.0,0.2,5.0
494.0,104.0,3.0,1.0,0.15,6.666666666666667
495.0,107.0,3.0,1.0,0.15,6.666666666666667
496.0,114.0,3.0,1.0,0.15,6.666666666666667
497.0,115.0,3.0,1.0,0.15,6.666666666666667
498.0,116.0,3.0,1.0,0.15,6.666666666666667
499.0,120.0,4.0,1.0,0.2,5.0
500.0,114.0,5.0,1.0,0.25,4.0
501.0,111.0,5.0,1.0,0.25,4.0
502.0,109.0,5.0,1.0,0.25,4.0
503.0,105.0,4.0,1.0,0.2,5.0
504.0,102.0,3.0,1.0,0.15,6.666666666666667
505.0,103.0,3.0,1.0,0.15,6.666666666666667
506.0,107.0,3.0,1.0,0.15,6.666666666666667
507.0,105.0,3.0,1.0,0.15,6.666666666666667
508.0,114.0,4.0,1.0,0.2,5.0
509.0,114.0,4.0,1.0,0.2,5.0
510.0,121.0,4.0,1.0,0.2,5.0
511.0,122.0,4.0,1.0,0.2,5.0
512.0,117.0,5.0,1.0,0.25,4.0
513.0,115.0,5.0,1.0,0.25,4.0
514.0,114.0,6.0,1.0,0.3,3.3333333333333335
515.0,112.0,6.0,1.0,0.3,3.3333333333333335
